RegionCode,RegionName,CountryCode,CountryName,Year,Sex,SuicideCount,CauseSpecificDeathPercentage,StdDeathRate,DeathRatePer100K,Population,GDP,GDPPerCapita,GNI,GNIPerCapita,InflationRate,EmploymentPopulationRatio,InflationRate_Log,IncomeGroup,GDPPerCapita_Growth,GDPPerCapita_Growth_Lag1,GDPPerCapita_Growth_Lag3,GDPPerCapita_Growth_Lag5,InflationRate_Log_Lag1,InflationRate_Log_Lag3,InflationRate_Log_Lag5,EmploymentPopulationRatio_Lag1,EmploymentPopulationRatio_Lag3,EmploymentPopulationRatio_Lag5,GDPPerCapita_Scaled,GNIPerCapita_Scaled,InflationRate_Log_Scaled,EmploymentPopulationRatio_Scaled
EU,Europe,HUN,Hungary,2001,Male,2282,3.33679393,39.56583689,47.10986549,10187576.0,53749989092.0,5276.033189,48756201949.0,12440.0,9.116809117,46.043,3.032397140476593,High-Income,14.094114077446207,-3.529730324720537,3.2207084481683523,0.6748265190385627,3.0649647916767266,3.24974975457176,3.5581762683393983,46.071,43.776,43.21,-0.6320533785268158,-0.5214418077656435,0.3507156194578141,-1.2415780331759212
EU,Europe,HUN,Hungary,2002,Male,2195,3.18869213,38.03331033,45.4666159,10158608.0,67608919144.0,6655.333009,53752937938.0,13700.0,5.265448216,46.117,2.8270499999648764,High-Income,26.142743432238102,14.094114077446207,1.0384496995179182,1.5722188776851276,3.032397140476593,3.073981431609337,3.3990340957789633,46.043,45.617,43.066,-0.5600078176731549,-0.45311555425964845,-0.01025826317117032,-1.2321574255532932
EU,Europe,HUN,Hungary,2003,Male,2161,3.08643739,36.92172637,44.91524508,10129552.0,85285062818.0,8419.430871,67132858860.0,14610.0,4.661016949,46.816,2.7906198124791195,High-Income,26.50653032108856,26.142743432238102,-3.529730324720537,3.2207084481683523,2.8270499999648764,3.0649647916767266,3.24974975457176,46.117,46.071,43.776,-0.4678629351569417,-0.4037688156164298,-0.07429785090959891,-1.143170875171981
EU,Europe,HUN,Hungary,2004,Male,2087,3.05201737,35.9839347,43.4917249,10107146.0,104000000000.0,10301.70339,87458389311.0,15270.0,6.744346796,46.499,2.910960783743071,High-Income,22.356291628729032,26.50653032108856,14.094114077446207,1.0384496995179182,2.7906198124791195,3.032397140476593,3.073981431609337,46.816,46.043,45.617,-0.3695453849445536,-0.3679788733037657,0.13724611083362812,-1.1835267213391851
EU,Europe,HUN,Hungary,2005,Male,2028,2.90623522,34.54008874,42.34839827,10087065.0,113000000000.0,11223.3993,105000000000.0,16040.0,3.561517114,46.554,2.7207435831139284,High-Income,8.947024342544175,22.356291628729032,26.142743432238102,-3.529730324720537,2.910960783743071,2.8270499999648764,3.0649647916767266,46.499,46.117,46.071,-0.3214020459767611,-0.32622394060565757,-0.19713128192096133,-1.176524918376421
EU,Europe,HUN,Hungary,2006,Male,1861,2.74277461,31.37090085,38.9181629,10071370.0,116000000000.0,11489.56087,113000000000.0,17250.0,3.930326038,46.899,2.744730716195302,High-Income,2.3714880214588785,8.947024342544175,26.50653032108856,14.094114077446207,2.7207435831139284,2.7906198124791195,3.032397140476593,46.554,46.816,46.043,-0.3074995141919451,-0.2606090463657734,-0.15496498469401024,-1.1326045179736277
EU,Europe,HUN,Hungary,2007,Male,1879,2.75347665,31.59035655,39.35639002,10055780.0,140000000000.0,13940.90928,118000000000.0,17650.0,7.958745165,46.727,2.974960135008626,High-Income,21.335440385721217,2.3714880214588785,22.356291628729032,26.142743432238102,2.744730716195302,2.910960783743071,2.8270499999648764,46.899,46.499,46.117,-0.17945717815641968,-0.23891817223688608,0.2497487454186243,-1.154501065420818
EU,Europe,HUN,Hungary,2008,Male,1911,2.88370128,31.83688987,40.09394277,10038188.0,158000000000.0,15772.33008,133000000000.0,19360.0,6.042512539,46.18,2.872015966371476,High-Income,13.137025449461937,21.335440385721217,8.947024342544175,26.50653032108856,2.974960135008626,2.7207435831139284,2.7906198124791195,46.727,46.554,46.816,-0.08379578765826085,-0.14618968533589274,0.06878612692603968,-1.2241371785232176
EU,Europe,HUN,Hungary,2009,Male,1902,2.86774018,32.06301183,39.95819306,10022650.0,131000000000.0,13077.30547,134000000000.0,19820.0,4.211711712,44.957,2.762652576331006,High-Income,-17.087041650348223,13.137025449461937,2.3714880214588785,22.356291628729032,2.872015966371476,2.744730716195302,2.910960783743071,46.18,46.899,46.499,-0.22456616747449873,-0.12124518008767231,-0.12346065782100141,-1.3798318153134095
EU,Europe,HUN,Hungary,2010,Male,1945,2.98601409,32.06133719,40.94391189,10000023.0,132000000000.0,13217.5046,133000000000.0,20720.0,4.855557957,44.761,2.8024906159221237,High-Income,1.0720796445538694,-17.087041650348223,21.335440385721217,8.947024342544175,2.762652576331006,2.974960135008626,2.7207435831139284,44.957,46.727,46.554,-0.2172430860054927,-0.0724407132976758,-0.053430504044828526,-1.4047836949625325
